customer_message,amazon_reply,predicted_intent
@AmazonHelp Did this over chat but no help. Poor English responses and indifferent attitude. 50 minutes to get to 'problem with carrier'.,"@337287 Was the agent able to offer any options? If so, what was advised? Did they reschedule the delivery for you? Keep us posted! ^FR",Delivery Issue
@2150 Your driver is a #liar. Said he delivered my package then admits he lied! Shame on @115821 for doing business w them #fraud #fail,@604719 I'm sorry for the frustration! We're happy to review the order and assist you directly here: https://t.co/hApLpMlfHN ^JR,Delivery Issue
@AmazonHelp Nothing. Customer care number not accepting my cell number after multiple tries,@190808 Have you tried to contact us via Chat or Email?^CD,Account/Security Issue
@AmazonHelp Yea..but 4 days!! Why should I use prime then!!,@517166 membership entitles you to expedited delivery / free standard shipping depending upon these factors. (2/2) ^SK,Delivery Issue
@AmazonHelp Spoke to c.s again!! And they said nothing can be done for me besides issuing a refund. Now I️ have to reorder and wait another 2-3 days,@530805 I'm so sorry for the frustration. We'd like to escalate your feedback and look into this more here: https://t.co/Tn35bg9fTI ^SJ,Refund/Return Request
"@115850 I ordered a product with extra money for guaranteed delivery on account of my wife's birthday, but you guys made me fool. https://t.co/WZJhN6NYUG","@200167 Apologies, Atul. Please contact our support team here: https://t.co/vlvfJr4nN9 and we’ll be glad to help you. ^NK",Delivery Issue
@AmazonHelp Have you lost it. I have done this procedure 20 times. Check i have 100 tweets with you frauds,@217522 I'm sorry but we'll not be able to gain access to your account and provide an update until we receive your details. ^HK,Delivery Issue
@115830 I think you may need to stop using @122232 as they can't deliver and aren't decent enough to answer you,@343701 I'm sorry for the trouble! Have you reached out to us here: https://t.co/JzP7hlA23B so we're able to pass along your feedback? ^KP,Delivery Issue
Why is it that @115830  prime’s one day delivery has been taking minimum 4 days lately?,"@794701 Hi there! Thanks for reaching out. Without revealing any account information, will you give us more details? Was there a package that we missed to delivery on time? ^LH",Delivery Issue
"@AmazonHelp @115821 : I have been trying to get refund for a gift card for more than 2 mnts.  Can't reach CC on call,no replies to emails.",@546542 Sorry for the trouble with the refund. I'd like to take a closer look at this. ^AK (1/2),Refund/Return Request
Trying to find a place to download Net Galley books when my Kindle app isn't working is incredibly frustrating,"@777161 Hey, Taylor! Sorry to hear your Kindle app isn't working. Have you tried uninstalling then reinstalling the app to see if that solves the problem? ^RB",General Product/Service Question
"@115821 next time you guys use a courier can you make sure they're consistent with where they deliver? They're now claiming to have left my bday package by my back porch. My building doesn't even have a backdoor. ""As far as we're concerned, delivery status is final"" #nomoreTBA","@812944 I'm so sorry about this, Karim! Were you able to locate your package? ^JY",Delivery Issue
"when @115821 quotes one price in search results, and higher price on the order page, I feel cheated.  I will find another place to do my #christmas shopping.","@666804 Hi, sorry to hear that. Is it possible that when you clicked on the item you were looking at a different Seller? ^JJ",Billing/Charge Issue
"@115850 @28320 @1469 
Issues wth camera
No response, request for replacement rejected.
Not acceptable.
Immidiate action req https://t.co/hchN7DgDUC",@395483 Please share your details here: https://t.co/GIJyeYqKE0 and I'll get in touch with you. 2/3 ^HD,Damaged/Defective Item
When you wake up and realize how shit @115830 is. Arriving Thursday is not good enough. #amazon #neveragain https://t.co/Ksca9wa8oI,@524601 Sorry to hear. Please keep us posted on the order. ^MC,Delivery Issue
@AmazonHelp “Expected 3rd October”,@189098 We'd like to look into available options with you! Please get in touch with us by phone/chat here: https://t.co/JzP7hlA23B ^KJ,Order Status/Tracking Inquiry
@129773 Really disappointed with the service unusable constant buffering couldnt watch the last 10 mins of the film wouldnt play,@196044 I'm sorry to hear about the trouble! We'd like to help. Which device are you using to access Amazon Video? ^HC,General Product/Service Question
"@115850 ordered 2 kindle, i must say delivery was way late and app was showing delivered yesterday but received today",@487713 We're sorry for the unpleasant experience. We've forwarded this internally. We'll work towards improving our services. ^ZH,Delivery Issue
@115830 I loved all your Black Friday deals....what I didn’t appreciate is your delivery driver entering my property without my consent and to make it that much more worse with my one and a half year old son around. Seriously?!,"@621858 I'm really sorry to hear of this, it shouldn't have happened! We'd like to investigate this further for you, can you please reach out to us directly via the following link?:  https://t.co/JzP7hlA23B ^KI",Delivery Issue
@115850 Its being more than 15 days but my Microwave still not delivered by you. @149473 still roming herethere wid my microwave.,"@386768 We're sorry about the stretch, Atul. Could you please help us with the estimated delivery date provided on the order? ^HK",Delivery Issue
"@115850 Thanks for taking it as a feedback, didn't expected this could be considered.",@147583 It shall be. Every feedback shared is monitored by our team internally. ^YP,Other/Unclear
"After using echo for a while, it feels as if I paid @115821 to help them build the product, share queries that it can't address. #UXfail 1/2","@519722 Thousands of Indian &amp; global developers are bringing more than 10,000 skills to customers in India. We'll add them soon. ^KA",Damaged/Defective Item
@AmazonHelp No information apart from Amazon Shipping,@680445 Thanks for checking on the courier! We'd be happy to look into why your parcel wasn't delivered! Please phone or chat with us here: https://t.co/JzP7hlA23B ^BN,Order Status/Tracking Inquiry
order id #403-5637109-7077146 has been cancelled or is on time pls help. @AmazonHelp @115850,@126709 We'll surely help you with the information. Request you to contact us here : https://t.co/2t6DQoUmNZ. 1/2 ^PR,Order Status/Tracking Inquiry
Dear @115850 I c ur efforts hv paid.Wht an amazing attempt at cancelling my order!I think I no longer need ur support... https://t.co/4TPuQvm01x,@293369 back with the latest update. 2/2 ^GK,Refund/Return Request
"@AmazonHelp It just arrived, safe and sound! Thank you very much for dealing with that.",@134804 Excellent! Thank you very much for the update. Glad your order arrived! ^TK,Other/Unclear
@AmazonHelp i ordered early on wednesday and it said it would be there on friday by 8pm,@363318 Oh goodness! Please reach us via phone/chat so we can look into this and go over available options: https://t.co/EKXRLsnxJu ^BV,Order Status/Tracking Inquiry
"@AmazonHelp Amazon is the carrier! No insight on your website other than guaranteed today, but now by the 20th?",@465177 Thanks for the info. Our team would like to take a look into this. Please send us your details here: https://t.co/zonaTc0I5I ^GG,Delivery Issue
"@115850 Thanks, I was able to claim the warranty.",@706424 You're welcome. Do keep us posted for any further concerns. ^SG,Other/Unclear
@AmazonHelp Then public should know how inefficient you are,@582670 I'm sorry for the hassle. Please fill the details in the link provided earlier and we will get back to you soon.  ^SS,Other/Unclear
"Hey @AmazonHelp, when I receive my cashback ? 😳😳",@320150 Request you to reply to Social Media correspondence that is sent to your registered email account. 1/2 ^MJ,General Product/Service Question
@115830 hey! Wondered if you can help? Want to find out which courier was used for a recent order? Thankyou,@252066 We'd love to help out! You can check the courier of your orders here: https://t.co/ijxJ9jCwr9 ^AC,Order Status/Tracking Inquiry
@115821 7827823104 this is my register number.my id is not working.my 40000 rs stucks.plz unblcok,@122366 Please don’t provide account details as we consider them as personal info. Our Twitter page is visible to public. (2/2)^BS,Account/Security Issue
"@AmazonHelp The lady I spoke to repeated the product which was the correct one quite a few times, I don't understand how this has happened and I am very unhappy with this. Is there any way to talk to someone over DM?","@806447 I completely understand your frustration. You're welcome to DM us however, we do not have access to your account over Twitter. Reaching out to us through the link that ^AC provided would be the option for us looking into your orders. ^EB",Other/Unclear
@119356 I received this mail last night and I tried to contact your customer care but you've blocked my account and there is no phone number mentioned on the site. I checked with my bank and they claimed I entered the right details. How do I unblock my account? #amazonindia #wtf https://t.co/jE728fEVaj,"@706578 I understand your concern regarding the account. However, all account related concerns are handled by our account specialist team. Kindly reply to the email you've received from our account specialist, they'll reach out to you soon.",Account/Security Issue
@115850 @115851 Please stop cheating customers by delivering old products. Bought a new laptop this week whose warranty is valid only for 290 days instead of a year.. Order id 405-5462082-7360357.. NEED REFUND.. https://t.co/GMhc0vBJ69,@137099 Apologies for the trouble with the order received. Definitely not an intended experience for our customers. We'd like to help. Kindly report it to our support team here: https://t.co/vlvfJr4nN9 and we'll have this sorted. 1/2 ^KH,Refund/Return Request
"@AmazonHelp I couldn't contact due to your faulty IVRS, I only mailed them as you said, Today is my second day of wearing floaters @95892 chappals, all the staff members are staring at me and laughing behind my back, I can't bear the humiliation any more, Kindly arrange urgent replacemt",@687014 We would like to help you. Please share your details with us here: https://t.co/GIJyeYqKE0. We'll get in touch shortly. ^CB,Damaged/Defective Item
@AmazonHelp I have contacted support team but now seller is asking me to contact the courier for delivery. Courier number provided is nonexistent.,@468208 I’d like to help you; Please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon. ^JS,Delivery Issue
"@AmazonHelp Paid for same day delivery. Just got notice it was delivered (nothing at my house) Called CS ""Sorry system update call back 1 hr",@476322 I'm sorry you don't have your order yet! This may help you locate your delivery: https://t.co/vCaaOl22Bv. Keep us posted! ^BN,Delivery Issue
@AmazonHelp Kindle. Do you know how long it takes for refund requests to be reviewed? Thanks.,"@353494 Hi, if you've followed the steps here: https://t.co/UpUETt1RJE you should see the refund within 5-7 working days ^TS",Refund/Return Request
"@AmazonHelp Sure, will do that in future, ill remove my tweet. Already, you can fetch all details useing ord#. But still filled  the form given. Plz chk",@215297 Thanks for the update. I've checked and we've received your details. We'll get back to you at the earliest. ^HA,Other/Unclear
"@AmazonHelp thnx, matter resolved.",@120263 Glad the issue was resolved. Thank you for keeping us posted. ^SB,Other/Unclear
@115850 10% discount is not showing in my SBI card when I am select it with Emi. I have simply save platinum Sbi master card,@363150 Sorry for the hassle. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN,Billing/Charge Issue
"@AmazonHelp Tried doing that but it doesn't proceed beyond the option whether I wish to chat or have a phone call,I will DM you the details of the order",@413738 Sorry for the trouble in contacting us. We'll check your DM and respond to it. ^NS,Other/Unclear
"@115821 trying to connect echo dot to wifi, attempting to connect to WiFi, does it not support to reliance jiofi..please help",@260119 I get your concern. Please connect with our support team here: https://t.co/vlvfJr4nN9 and we'll assist you with your concern. ^HS,General Product/Service Question
@116618 going to need an update... we're running out of days til the end of this year.,"@670038 Alex, are you having issues with your Amazon Video? ^SY",Other/Unclear
@119625 You can get a one up on @15462 if you can let users customize their library.,"@188586 Thank you for your suggestion, we'll forward this to our team internally for a review. ^SI",Other/Unclear
Anyone else having problems with the @115821 app? @AmazonHelp,"@277294 Oh no, Rob! What kind of trouble are you experiencing? ^BE",General Product/Service Question
@AmazonHelp Ordered some books for work. Lost the tiny receipt. Need it to submit to finance. Is it possible to get a new receipt?,"@390675 Thanks for reaching out! I can help you with the missing receipt. You can print off an invoice from Your Orders. You can learn how to do this here: https://t.co/c0rw6izxPu Let us know if you need any additional assistance, we'll be here! ^EA",Other/Unclear
"@AmazonHelp Hi, no I asked for a local hairdresser and it supplied one where the business name was changed 5 yrs ago so people wouldn’t have found it",@362027 I'd like to have a member from our support team research this on your behalf; please contact us: https://t.co/JzP7hlA23B ^WM,Other/Unclear
"@AmazonHelp Happy if you wanted to DM and speak direct. Sadly, I can no longer rely on Amazon delivering orders, or sorting out problems with a customer centric approach","@722391 Hi Richard, can you contact us so that we look into this further: https://t.co/oGDklGgbCZ ^PJ",Delivery Issue
@AmazonHelp Any tat @1840 .seems u r nt intrstd in refunding fyn .thnx fr this keep it.,@283696 It's never our intention to keep you waiting. We're working on it to make sure the refund is processed at the earliest. ^SU,Refund/Return Request
@AmazonHelp And your phone agent just hung up on me...,@329553 I'm sorry for the delay! We're here to help. Please provide your order details for us here: https://t.co/7nfUVe9en5 ^MB,Other/Unclear
"@AmazonHelp I purchased Amazon fire stick through Amazon.in which offered Rs. 500 cashback, but I didn't get any what to do?","@353506 We're following up with you via DM, you should be receiving a direct message anytime now. ^HA",Billing/Charge Issue
"@AmazonHelp @115850 why am I being charged 1300 at an mrp of 478,doesn't that amount to cheating? https://t.co/TZGvB7sLM1",@294046 Pricing and offers are decision of the sellers. The constantly changing marketplace and our [1/2] ^HA,Billing/Charge Issue
@AmazonHelp I’m trying to find the contact seller option for that company but nothing shows up ?,"@359525 You should be able to use the reference HC sent to learn how to contact them from Your Orders, here: https://t.co/Y5jpI9gRhE ^JE",General Product/Service Question
@AmazonHelp all of the sudden my echo won’t play music from my Spotify account. The alexa app doesn’t give me the option to link my account,@491230 I'm sorry for the trouble. Please make sure that your Echo software is up to date: https://t.co/bCEZR69ZPS ^LR,Damaged/Defective Item
@115850 @115821 Click bait!!!??? That's a cheap trick for global giant https://t.co/AnTf4yGUtk,@293898 That's unusual. When was this email sent to you? ^HK,Other/Unclear
"@AmazonHelp My package says it was delivered, but...it wasn't. I've clicked like 70 things on the website and can't find help. 0_0 Help!",@316896 I'm sorry! I'd like to help! Can you tell us who the carrier was? You can view it here: https://t.co/Y5jpI9gRhE ^TK,Delivery Issue
@AmazonHelp So what do I do. I’m trying to buy my sister something for Christmas but it’s not accepting the gift card do I dm you,@538037 Please contact us via Phone or Chat here: https://t.co/hApLpMlfHN so we can look into this with you in real time! ^TR,Billing/Charge Issue
"@AmazonHelp This is your own carrier and I have never had an issue with USPS, FedEx, or UPS finding my location.","@137888 Oh no, that's definitely not the experience that we want you to have! Your package was set to be delivered today?  ^GP",Delivery Issue
"@AmazonHelp Unless it’s changed from Saturday, I believe it’s Fed Ex",@209357 Let's reach out to the carrier together so we can get this sorted: https://t.co/hApLpMlfHN ^JZ,Delivery Issue
@AmazonHelp I just called customer service thanks,@238679 Please let us know how that goes. Thank you! ^DO,Other/Unclear
@115850.         Provide exchange facility @ 507101 location for consumer items and electronics ...,@210372 Exchange feature is available only with eligible products and pin codes. We'd recommend you to check (1/2),General Product/Service Question
"@AmazonHelp i sent an email with all the details, i check my order there is nothing i buy it by mistake","@367388 We don't have access to customer accounts via Twitter. For a quicker response, please reach out to us via phone/chat. ^BH",Refund/Return Request
Amazon email says 'sorry for problem with your item. For help in returning items..'. It's not broken - I just can't get it!,"@415989 Hi Dave, sorry to hear that. Will you be returning to the address that the replacements were sent to? ^JJ",Refund/Return Request
@AmazonHelp Not that I know of,@646820 Here is a Help Page on identifying some unknown charges:https://t.co/M2BqYWfN2D Let us know if this works for you! ^SA,Other/Unclear
@119356 Amazon India subscription order are not working as expected..we are not getting cash back as shown on website,@463682 I'm sorry I was unable to understand your concern. May I please know which cashback offer are you referring to? ^SH,Billing/Charge Issue
@AmazonHelp what happened? You don't have any answer ? Why you are not returning my money? It's more than 12 hours!,"@164808 My apologies for the delay in the refund, Anjani. We will get back to you soon with an update on the order. ^KS",Refund/Return Request
"@AmazonHelp I received orig shipping notice, then notice it’s on its way, then notice it was delayed, then a “reminder” notice that it had been delivered, providing me with code for 1st Time and telling me I have 1 day to retrieve it, not 3.",@608055 Terribly sorry about your delivery issues! Let's take a closer look into this in real time with you here: https://t.co/hApLpMlfHN ^JZ,Delivery Issue
@AmazonHelp ok I submitted that.  Hope to hear soon then because I keep be told to do different things,@209211 I appreciate your continued patience. We'll be in touch shortly! ^ST,Other/Unclear
@117795 pissing me off again!! https://t.co/FFYO3URJ0G,@488739 I'm sorry for the delay with your parcel! Please keep us posted and let us know if you don't receive it by November 7. ^MO,Other/Unclear
@115850 how do I cancel dispatched order?,"@441155 Once an order is dispatched, you won't be able to cancel it online. However, you can reject the package at the (1/2) ^SY",Refund/Return Request
Any recommendations for things to try with Alexa? @115850 @121284 #greatforhindi,"@632902 Alexa can help you with lot of things, Rohitashwa. Please click here: https://t.co/c3dXgcjPgf to know more about the features. ^KS",General Product/Service Question
On my 4th support person trying to return an item. Apparently I’ve reach their “Leadership” @115821 https://t.co/3Nug1tL5xl,"@684236 Hello, Eugene. I'm sorry for the trouble you had trying to return an item to us. Is there anything we may do to help? Please let us know, we want to make sure you're taken care of. ^KL",Refund/Return Request
"@AmazonHelp Yes, I suspected there wasn’t one. Please consider this a request.",@227087 We will pass your feedback to the relevant department. Thank you for taking the time to highlight this to us. ^BD,Other/Unclear
@AmazonHelp I'd be contacted in 24 hours but heard nothing.  Just called again and was told the same thing.  Anything you guys can do to help?,@160867 I'm sorry for the log-in issues! Our Account Specialists will be in the best position to assist: https://t.co/jzvkhdlrK5 ^WT,Other/Unclear
@AmazonHelp SO earlier there was a continue watching tab on the home page now I can't find it. I have to search for the video and then play it again,@320054 I'd like to understand this better. Please connect with us here: https://t.co/00q4Sqj9zL and we'll be glad to help. ^KA,General Product/Service Question
@AmazonHelp It's arrived now - was just the case of seeing everything else arrive.,@299158 I know the feeling! I'm glad it's arrived though. 😊 ^PK,Delivery Issue
"@AmazonHelp I connected Twitch and BattleNet together, but when I login to Hearthstone I do not see the loot. I looked at the FAQ and stuff to find my problem, but unfortunately I cannot see what I am doing wrong.",@715859 Thank you for elaborating. Please contact us here via phone or chat so we can look into this with you: https://t.co/EKXRLsnxJu ^GG,General Product/Service Question
@AmazonHelp I have and it appears to be up to date. I tried apps and am able to watch them,@261461 Please reach out to us here: https://t.co/JzP7hlA23B so we can troubleshoot this with you in real-time. ^CO,General Product/Service Question
My card was charged $50 from https://t.co/kVQefQV5B4.  I can't find any orders in my email or account...,"@699730 Hi, we're unable to see your account details via Twitter. Pls contact https://t.co/st4oU5QbhP customer service at the following link: https://t.co/J6YEizo6qC ^YM",Billing/Charge Issue
@AmazonHelp Thr ws offer frm 4to7oct 15% Amazon Pay Balance cashback It is still nt credited and custmr srvc says this product ws nt in offer list(1/2),@333357 I'd like to have a closer look at it. Please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon. ^MO,Billing/Charge Issue
"@115821 I want the product to be delivered at any cost today, else I want a compensation for this inconvenience","@354507 Apologies for the incorrect update on the tracking system, Manas. I understand how you must be feeling about it. Let us sort this for you. Please provide your details here: https://t.co/beaaDm0muc. (1/2)^SF",Delivery Issue
@AmazonHelp This link not working..,"@485834 Sorry to know, Manas. I've cross-checked and see the link is working fine at our end. (1/2) ^SV",General Product/Service Question
"@115850
1.Amazon services is very worst of all.Amzon does nt fulfill the comitment given to the customer.",@272846 I understand it has not been a very pleasant experience for you. Please allow us a chance to make this right! (1/2) ^PR,Other/Unclear
"@AmazonHelp In your page the website need to login , i can't login...",@564007 Would please try this link: https://t.co/MBTDQi7u2J ^BR,Account/Security Issue
@AmazonHelp Numbers of time contacted with CC but giving away false assurances. Is this is your easy return?,@348159 to us from here: https://t.co/cQVomR1pWz and we'll sort this for you at the earliest. 2/2 ^KH,Refund/Return Request
@AmazonHelp HELP! a package claiming to be delivered today and I don't know how to tell you I didn't receive it. USPS must have delivered to the wrong address,"@282892 I'm so sorry your package was scanned delivered but not receive. If you have a moment, please contact us by phone, chat or e-mail here: https://t.co/hApLpM3Ejd. ^LH",Delivery Issue
When @AmazonHelp says they’ll replace your lost parcel at no extra cost yet you still get a £1 charge from them... 🤔,"@171997 A £1.00 authorisation charge can happen at dispatch, even if it's no cost. The charge will fall off in a day or two. ^MJ",Billing/Charge Issue
"@AmazonHelp Thanks for the help, I got it all sorted out, thank you.",@290837 We're happy to hear it! Thanks for letting us know. 😊 ^MV,Other/Unclear
Another #Prime delivery that wasn't received on time &amp; delivery partner listed as delivered #epicfail @115850 Won't renew #Prime m'bership,@383290 Kindly report this to our support team here: https://t.co/HQhpS2qeEd. We'll definitely look into it. 2/2 ^PS,Delivery Issue
"What is the difference between M.R.P and Price, specially in the context of books you sell on your site @115850",@341650 market and fluctuates.'Price' is the amount of money that is paid to acquire something. [2/2] ^HA,General Product/Service Question
@AmazonHelp Can I get a toll free number to call? My order was not only substantially delayed but virtually suspended.,@527801 You can reach us by phone/chat here: https://t.co/hApLpMlfHN. Pls let us know if there's anything else we can assist with! ^KJ,Delivery Issue
Hey @115821 and @2150 I needed to leave my house THREE HOURS AGO but plans (and myself) held hostage waiting for pkg. Unacceptable.,@335494 I'm sorry for the delivery issues! We'd like to explore options; please reach us by phone here: https://t.co/hApLpMlfHN ^MV,Delivery Issue
"wow, amazon charged me for this prime thingy like i knew i had it.",@491003 Sorry to hear. Have you since cancelled? You can do so here : http:https://t.co/a4Yc9lKczA Keep us posted.^TP,Billing/Charge Issue
@AmazonHelp @115821 HELP! You delivered the wrong product to me yesterday and need the correct product now,@613974 Oh no! Have you had a chance to checkout available options here: https://t.co/moO8C4Xpsb We'd love to help with this! ^ML,Delivery Issue
@115850 ordered a book on the website. Not yet delivered and seller not responding. Please help,"@369659 Has the delivery date been missed? If yes, please report this to our support team here: https://t.co/vlvfJr4nN9. ^HA",Delivery Issue
"I need this badly @115850 , invitation please, waiting eagerly https://t.co/hqt4Db9jxV","@190977 Due to heavy demand, we send limited number of invites each week. Keep an eye on your inbox. (2/2) ^SI",Other/Unclear
Wtf @115821 has fucked my account up so much in the past two days I’ve called so many times and they haven’t helped at all. Pissed,"@750624 that doesn't sound good, what happened? ^AS",Account/Security Issue
@AmazonHelp If i would hv recd appropriate response over mail/call i would hv not chosen twitter. do not have ny hope in @115850 nymore #BoycottAmazon,@405683 I'd request you to please respond for further assistance. 2/2 ^KH,Other/Unclear
@AmazonHelp Whatever happened to the sorting + filtering functions on the wishlists? You seriously want me to sort 100s of books by hand?!,@467783 HI! There is still a sorting feature with wishlist. What type of sorting are you interested in? ^DA,General Product/Service Question
