customer_message,amazon_reply,true_intent,should_escalate,notes,my_predicted_intent,trivial_predicted_intent,simple_predicted_intent,my_predicted_escalate,intent_correct
"@115850 Hi, I had received two promo codes as a shopping festival returns and I had deleted my mails by mistake and lost those promo codes of https://t.co/s8yg8mXMqs......could you resend those codes again",@219460 Kindly reach out to our support team here: https://t.co/vlvfJr4nN9 and we'll get this checked for you. ^PB,Other/Unclear,True,,General Product/Service Question,Delivery Issue,Other/Unclear,True,False
"@AmazonHelp When I place a call from the app, It says couldnât find your order and hangs up, I have got two issues, 1: Regarding my account, 2: Regarding two orders that I placed nd havenât received yet.","@800852 Thank you for elaborating, Kush. Could you please confirm if you are trying to contact our support team from the registered mobile number of your Amazon account? ^RI",Delivery Issue,True,,Account/Security Issue,Delivery Issue,Order Status/Tracking Inquiry,True,False
@115821 my package was supposed to be delivered today and it wasnât :-(,@781734 I'm so sorry your package hasn't arrived! Can you please let us know who the carrier is? You can check here: https://t.co/Y5jpI9gRhE ^EB,Delivery Issue,False,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
"Not a happy customer. This is the second time in 5 days my @115830 parcel has been deemed ""undeliverable"". I have things delivered to my workplace all the time. It's only a DVD. What happens now?",@302602 I'm sorry for the trouble with your deliveries. We'd like to look into this further and help sort this out. Please contact us by phone or chat here: https://t.co/JzP7hlA23B ^CO,Delivery Issue,True,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
"Ordered prestige cooker from amazon. Stopped working within a week only , informed customer care of amazon, refused to return and asked me to call prestige. No help from there too. Only harassment for customer. Order no.
403-3622173-9704318. 
@AmazonHelp 
@115821 
@115850","@254501 I'm sorry to know about the defective order. The return window is only applicable when the order is delivered in a damaged/defective condition. Post which you will have to contact the manufacturer for further assistance. Also, please don't post yo",Damaged/Defective Item,True,,Damaged/Defective Item,Delivery Issue,Refund/Return Request,False,True
"@AmazonHelp Being trying to do the same since morning today, requested several times for call back as well. Your chat window is also showing network network issue. Is there any other source to connect.",@671940 Apologies for the hassle. Please fill in the details: https://t.co/beaaDm0muc and Iâll contact you soon. ^JS,Account/Security Issue,True,,Other/Unclear,Delivery Issue,General Product/Service Question,True,False
Good morning @115833 Whom can a chat with about Agent Neo in Indianapolis? @115821,"@813949 Hi, we don't have access to any of your details here. Without posting any account details, can you tell us a bit more? ^BZ",Other/Unclear,True,,Other/Unclear,Delivery Issue,Delivery Issue,True,True
"@115821 Delivery boy decides the delivery time? Paid 100 for one day delivery, order stuck with him. Hw do you respond? Order:209115816517",@191832 Sorry for the delay. Please get in touch with support team here: https://t.co/vlvfJr4nN9 we will assist you with it. ^GU,Delivery Issue,True,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
@115850 when is the next sale for redmi 4 16 gb,@355546 You can check the entire list here: https://t.co/En5UUmwIfE maybe you'll find something you'll like. 2/2^MS,General Product/Service Question,False,,General Product/Service Question,Delivery Issue,General Product/Service Question,False,True
"@116618 Hi, is there a reason why this line exists? Its on your new app for the Roku. Is there any way to fix it? https://t.co/Q43xHjU5pJ",@131676 Thanks for making us aware! We are unable to see the line you are referring to in this image. Does the line appear when you are viewing specific content through Amazon Video? ^SH,Other/Unclear,True,,General Product/Service Question,Delivery Issue,General Product/Service Question,False,False
"@AmazonHelp No delivery has ever been attempted, itâs a joke, itâs in stock, I live 20 mins away from where your holding it https://t.co/jM86XKgEVG",@308730 Sorry to hear this - pls contact us so we can escalate to the carrier :  https://t.co/JzP7hlA23B  ^TD,Delivery Issue,True,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
@AmazonHelp I already went through 4 times with your people. I am not jumping anymore loops for you.,@352984 Please share your details in the above link and we'll get back to you at the earliest. ^HN,Other/Unclear,False,,Other/Unclear,Delivery Issue,Other/Unclear,True,True
"@AmazonHelp No, new items I'm trying to order. All 3 are Prime. 2 say guaranteed 10/30, other says expected 10/30","@283086 You may have one item holding the others up. From the shopping cart, click on I want my items faster and see if that helps ^EM",General Product/Service Question,False,,Order Status/Tracking Inquiry,Delivery Issue,Order Status/Tracking Inquiry,False,False
@115830 who do I send the bill for a new microchip cat flap to ? Didn't stop your driver ramming my parcel through it !!!,@158296 Very sorry to hear Karl. Please fill in your details - https://t.co/tkLCr7DNil. We will be in touch. ^TP,Billing/Charge Issue,True,,Billing/Charge Issue,Delivery Issue,Delivery Issue,True,True
@1584 @115850 @AmazonHelp @59842 @59842 @1584  I am waiting for solution,@426152 An email has already been sent to you with a reply. Please check this link here: https://t.co/NTkrxpsbHJ ^KA,Other/Unclear,False,,Other/Unclear,Delivery Issue,Other/Unclear,True,True
@115850 Received SMS about a product being delivered but it hasnât. Order#408-1541125-6360347,"@679773 Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. 2/2 ^MK",Delivery Issue,False,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
@AmazonHelp Whatever the next step in your book of âhow toâ is Iâve already gone through it before when I ordered the EXACT. SAME. THING last time and it was lost.,"@116917 We want to help! Please contact us here, so we can connect with Amazon Restaurants for further assistance: https://t.co/hApLpMlfHN ^SH",General Product/Service Question,False,,Delivery Issue,Delivery Issue,Delivery Issue,False,False
"@115850 @AmazonHelp #amazonprime 
Tried Prime Membership 3rd time now. Failed. 
I think you should Gift me prime membership for 1 yr now. https://t.co/SV0Yc25ekm",@282574 Kindly reach out to us via: https://t.co/zXP2z8kI7L and we will be happy to help you check on the this. ^KS 2/3,Other/Unclear,False,,Account/Security Issue,Delivery Issue,Billing/Charge Issue,True,False
@amazonHelp I have not heard back regarding my book order.,@389555 I'm sorry about your order! What does the tracking show for your order here? https://t.co/Y5jpI9gRhE ^TK,Order Status/Tracking Inquiry,False,,Order Status/Tracking Inquiry,Delivery Issue,Refund/Return Request,False,True
@AmazonHelp It says shipped with EMS? Is that what you are looking for?,"@302629 (2/2) If a seller, please reach out to them directly &amp; keep us posted: https://t.co/8SzwxKFTb7 ^MV",General Product/Service Question,True,,Order Status/Tracking Inquiry,Delivery Issue,Order Status/Tracking Inquiry,False,False
"Dear @115850, a suggestion increase the price of prime by INR 500 and include the audible membership in it.",@659460 I'll forward your suggestions to the relevant team as feedback. ^MJ,Billing/Charge Issue,False,,General Product/Service Question,Delivery Issue,Delivery Issue,False,False
@195586 @115850 @AmazonHelp We didn't even received d order n u update d status as delivered !!! Where is d product. Is this ur #Prime service ??,"@201847 That's very unusual, Vishal. Apologies for it. Request you to please connect with our support team [1/2] ^SK",Delivery Issue,True,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
Good to see @115830 are still efficient with packaging.... https://t.co/Gr1P6R6oYv,"@257146 Hi Sam, I am sorry to see that you can leave feedback for your packaging here: https://t.co/TH7UAFZey5. ^HS",General Product/Service Question,True,,Other/Unclear,Delivery Issue,Delivery Issue,True,False
@AmazonHelp I haven't heard anything since Sat evening when I was told the driver would go back and deliver it. Still haven't been given the reason it wasn't delivered in the first place,"@220243 I'm sorry for the trouble, Helen! When you have a moment, please reach out to us by phone or chat in the link that ^JY previously provided so we can investigate this together. ^TG",Delivery Issue,True,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
@119625 @12154 When you are going to release trailer ?,@170976 We will continue to add new content. Stay tuned to amazon video for further updates. ^AU,General Product/Service Question,False,,Other/Unclear,Delivery Issue,Other/Unclear,True,False
"@AmazonHelp Sir I Had searched, pls share here. I will update and will be having no issues onto sharing live as 28 days with no support and just everyone taking time . I guess even a year is short for you guys.",@146436 Could you please confirm if you've replied to the email correspondence sent from our end? ^RB,Other/Unclear,True,,Other/Unclear,Delivery Issue,Other/Unclear,True,True
@AmazonHelp It left Lenexa KS at 6:19 this morning supposed to be Manhattan KS in 46 minutes but nothing stated after this am,@717596 I understand your concern. Let us know if your order doesn't arrive by 8:00 PM. We'd be happy to help in any way possible. ^SK,Delivery Issue,False,,Order Status/Tracking Inquiry,Delivery Issue,Delivery Issue,False,False
@AmazonHelp They can do,@229999 Please reach out to us here: https://t.co/JzP7hlA23B so we can look into what options are available with you! ^ZW,Other/Unclear,True,,Other/Unclear,Delivery Issue,Other/Unclear,True,True
"Hey @AmazonHelp how come every time I pre-order a Christian non-fiction book from @116090, I get this message on/after the release date? https://t.co/Ljglh3kDJa","@392737 Oh no, Andrea! We want to look into this with you. Please reach out to us here: https://t.co/7udj7Z3Qcp ^NS",General Product/Service Question,False,,General Product/Service Question,Delivery Issue,Order Status/Tracking Inquiry,False,True
@AmazonHelp I did not get any email regarding this..,@363738 I'd like to work on the issue right away. Please write to us here: https://t.co/GIJyeYqKE0 and I'll reach out to you. ^SA,Other/Unclear,False,,Other/Unclear,Delivery Issue,Other/Unclear,True,True
@AmazonHelp Spot the difference for being not happy https://t.co/wRq2ZHJDGm,@170156 I get your disappointment. The prices of the products are decided by the sellers. The constantly changing marketplace 1/2 ^NK,Billing/Charge Issue,True,,Other/Unclear,Delivery Issue,Other/Unclear,True,False
"So naughty @115830 have renewed my Prime Membership with a single reminder or any 'post payment taking' confirmation of renewing it. 

Is this how @115851 got so rich, by stealing people's money?","@620018 I'm sorry for the unexpected charge. You can see how to cancel your membership here: https://t.co/0gdrSP8Lwj. If no benefits were used, you can expect a full refund. ^CL",Billing/Charge Issue,False,,Billing/Charge Issue,Delivery Issue,Billing/Charge Issue,True,True
@115821 y'all gonna have me pay $5 extra for Monday shipping and not have my package delivered here on Monday? :///,"@517964 I'm very sorry. Did we miss the delivery promise in the order confirmation e-mail? If so, have we given reason for delay?^SK",Delivery Issue,True,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
"@AmazonHelp Still says ""Delivery attempted."" I did not receive it nor get a notice from USPS about how to get it redelivered.",@327450 We're here to help! Deliveries are automatically reattempted typically. Have you spoken with the carrier to confirm? ^JE,Delivery Issue,False,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
@115821 Which begs the question why people bother paying for prime in the first place,@380181 I'm sorry for the wait! Are we going to miss the delivery dates provided in our order confirmation e-mails? ^WT,Billing/Charge Issue,False,,General Product/Service Question,Delivery Issue,Delivery Issue,False,False
"Yo @115821 @AmazonHelp, why the hell isn't there a drop down option to navigate to Amazon Family. I have to google it every time. Super annoying?","@230690 To access Amazon Family and manage your account, visit https://t.co/kzeq4yzyJd. We hope this helps! ^SH",Account/Security Issue,False,,General Product/Service Question,Delivery Issue,Other/Unclear,False,False
.@12339 sends back package to @115850 while in transit saying customer refused delivery! Its still 90km away from destination city! #ridiculous @115821 @AmazonHelp https://t.co/VOLLprvLa5,"@420471 We're sorry to know about the delivery experience. Did you happen to report this to us, here: https://t.co/vlvfJr4nN9? ^YP",Delivery Issue,False,,Delivery Issue,Delivery Issue,Delivery Issue,True,True
"#badcustomerservice @115830 bought Â£200 anniversary gift, attempted delivery after 9pm - couldn't be bothered to try redelivery?! ð ",@195342 I'm so sorry! Late parcels usually reattempt on the next day. Has your tracking updated here? https://t.co/aaDyEz1VgE ^TK,Order Status/Tracking Inquiry,True,,Delivery Issue,Delivery Issue,Delivery Issue,False,False
Why exactly am I paying for Amazon Prime if my packages are still coming 4+ days after I ordered ? @115821,@754528 2/2 immediately. Two-Day Shipping refers to transit time in business days after your order ships. ^KP,Delivery Issue,True,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
@AmazonHelp can you confirm if I wwe 2k18 to be delivered tomorrow as I have not had a dispatch notice yet?,@314394 You'll get a confirmation email with a delivery date once the item ships out. We do strive to meet those delivery dates! ^SA,Order Status/Tracking Inquiry,False,,Order Status/Tracking Inquiry,Delivery Issue,Delivery Issue,False,True
.@115850 - the number of emails you have bombarded for #Redmi4 ..! Control yaar!,"@685867 I'll pass along your comments to our website development team. If you wish, you can set your preferences here: https://t.co/ubanuYq5Ra ^KA",Other/Unclear,False,,Other/Unclear,Delivery Issue,Other/Unclear,True,True
"Hi @117634 , I'm currently unable to download books, though I restarted, updated, uninstalled and reinstalled. Help? https://t.co/DBTGcC1t1C",@123960 How can we resist this plea! Sorry for the troubles downloading your content! Have you tried this? https://t.co/s35LdJDcOy ^FR,General Product/Service Question,True,,Other/Unclear,Delivery Issue,General Product/Service Question,True,False
@AmazonHelp It seems some are too old to have the carier details - this recent one was AMZL US,@303116 I'm sorry about this issue! I'd like specialist to look into this further. Please tell us more here: https://t.co/9XpHvU0WUT ^HM,Other/Unclear,True,,Order Status/Tracking Inquiry,Delivery Issue,Other/Unclear,False,False
this is how @115850 fools the customers with their @116327 399 recharge offers. There is no code to apply and you will never be sure whether you get the cashback or not. 99Rs cashback of Jio will give you 20Rs certainly. Proof? here is it: https://t.co/KisqmYTul1,@722079 I'm sorry about the disappointment. Kindly connect with us here: https://t.co/vlvfJr4nN9 we'd like to help. Please donât provide your order details as we consider them to be personal info. Our page is visible to public. ^SG,Billing/Charge Issue,True,,Other/Unclear,Delivery Issue,Other/Unclear,True,False
@AmazonHelp Already did. currently using live chat,@399638 Keep us posted if the issue is not resolved. ^NR,Other/Unclear,False,,Other/Unclear,Delivery Issue,Other/Unclear,True,True
"@AmazonHelp Hi, is it possible to change a delivery date for an order where delivery has been attempted multiple times? Is there a limit for how many times a delivery is attempted before it is cancelled?","@678733 Hey there, truly sorry for any inconvenience caused! Typically, deliveries are attempted up to 3 times before returning to sender - it depends on the courier. What does the tracking state when deliveries are attempted? Have you set up a Safe Space",Delivery Issue,False,,Delivery Issue,Delivery Issue,Order Status/Tracking Inquiry,False,True
@115830 @AmazonHelp You need to sort out your Amazon Prime service in UK as 90% of my orders in last two weeks have been delayed. #Useless,"@356023 I'm sorry to hear that, Alan. We'd like to help in any way we can. Have they been delayed before or after being dispatched? ^BL",Delivery Issue,True,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
Trying to buy an ebook @116090 as a gift - no solution on the website &amp; phone call went into a black hole.,"@805445 I'm sorry, currently there is not a way to purchase an ebook as a gift. You can however purchase a gift card that they you can use towards the books. ^VS",General Product/Service Question,False,,General Product/Service Question,Delivery Issue,Account/Security Issue,False,True
@115830 be nice if the delivery driver read the address they should deliver to before failing a delivery attempt. Now the gift Iâve sent may never be received due to the driver!,"@663167 Without providing any personal details, can you let us know if this address is more difficult to find or perhaps a new build? Have you reached out to us directly so that we can forward some additional delivery information? ^KI",Delivery Issue,True,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
"@AmazonHelp I received an email yesterday that item is dispatched through India Post, but as of now, I am unable to track it. No. - EO893514529IN",@219760 and write back to the email for further concerns. (2/2) ^GK,Order Status/Tracking Inquiry,False,,Order Status/Tracking Inquiry,Delivery Issue,Order Status/Tracking Inquiry,False,True
@AmazonHelp Just that they were very busy. Which isn't a good answer.,@127516 Apologies again for the poor experience. This is not the service we expect. Did you have the chance to leave feedback via the link at the end of the chat / email sent? ^TP,General Product/Service Question,True,,Other/Unclear,Delivery Issue,Other/Unclear,True,False
"Confused how my Christmas tree was ordered Wednesday, hasnât been shipped but it gonna be delivered tomorrow? @115821",@757895 We'll ship to meet the delivery date provided to you at check-out. Please keep an eye out on your e-mail for any updates. ^CO,Order Status/Tracking Inquiry,False,,Order Status/Tracking Inquiry,Delivery Issue,Delivery Issue,False,True
@122232 @AmazonHelp  NO communication what so ever. We have had to do all the running. Somehow these 2 business are successful. #thinktwice,"@192913 sorry to hear that, what was the original delivery estimate on the order? ^AS",Delivery Issue,True,,Other/Unclear,Delivery Issue,Other/Unclear,True,False
@AmazonHelp Not sure what you mean...I haven't contacted anyone until I tweeted you this morning. Is there another route I should've taken?,"@219984 Hi Kate, you can contact us directly here: https://t.co/oGDklFYAep so that we can look into your order further.^PJ",General Product/Service Question,False,,General Product/Service Question,Delivery Issue,Other/Unclear,False,True
"@115850 Pickup Tracking ID 69956471561, no response from your agents for the return ??","@158468 Apologies, Harinder. Please contact us here: https://t.co/vlvfJr4nN9 and weâll be glad to help you ^NK 1/2 ^NK",Refund/Return Request,False,,Refund/Return Request,Delivery Issue,Refund/Return Request,False,True
@115821 @115851 @115817 surprise another amazon prime delivery is going to be late. Explanation giving by CSR we have an agreement with shipper to delivery items late. WTF. Purpose of paying for Prime is guaranteed 2 day delivery not 5 days. SMH,@553163 I am very sorry to hear this Abby. Can I ask what resolution was offered to you when you spoke to customer services please? ^GA,Delivery Issue,True,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
@115821 customer service is both the worst and the best put me through a roller coaster this week,@663792 I'm sorry to hear about your experience. Can you tell us more about what's gone on? ^DO,Other/Unclear,True,,Other/Unclear,Delivery Issue,Delivery Issue,True,True
"@AmazonHelp I should note this is from Amazon.ca, not .com, if that matters.","@403121 Hey, can you get in touch with us here: https://t.co/Q7Ftz6nj80 and we'll check it out for you ^AS",Account/Security Issue,False,,Other/Unclear,Delivery Issue,Billing/Charge Issue,True,False
@AmazonHelp Ok i sent you an email please put the money back in the bank today it needs to go back in no later than today tjanks keep me posted,"@154645 Thanks for the update, Chantel! If this is time sensitive I'd suggest speaking to live support via phone or chat using the link provided by ^FR as email support can take up to 24-48hrs for a response. ^TM",Refund/Return Request,True,,Refund/Return Request,Delivery Issue,Refund/Return Request,False,True
@AmazonHelp The remaining items are still showing as delivered.  They have not been refunded or replaced,"@122488 Apologies, please contact us once more here: https://t.co/JzP7hlA23B so an agent can look into this for you. ^JJ",Refund/Return Request,False,,Refund/Return Request,Delivery Issue,Delivery Issue,False,True
@AmazonHelp How long would you take to resolve an issue? It's been 3 days,"@285435 I know it's taken more time than expected, Sakthi. Please be assured that we're working on this and we'll get back to you soon with an appropriate resolution. ^SY",Other/Unclear,True,,Other/Unclear,Delivery Issue,Delivery Issue,True,True
@AmazonHelp @AmazonHelp  @115851  any luck ???,"@515456 Sorry for the delay, Sumit. Kindly fill in your details here: https://t.co/P1SkGxpN1g and we will get back to you soon. ^KS",Other/Unclear,True,,Other/Unclear,Delivery Issue,Other/Unclear,True,True
@AmazonHelp Second call was just made.  Turns out it was never resent out today like promised.   Getting very upset,@356983 Can you tell us who the carrier is? What's the current tracking and delivery date shown here: https://t.co/Y5jpI9gRhE ^AG,Delivery Issue,True,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
"@115833 iOS 'Alexa' app update shows more smart home features, not showing. Does the Echo need updating or is it for echo plus only?",@301517 Can you contact us here: https://t.co/JzP7hlA23B? ^MC,General Product/Service Question,False,,General Product/Service Question,Delivery Issue,General Product/Service Question,False,True
@AmazonHelp Which had nothing to do with anything. She ended nutty email by saying Amazon would no longer respond to me on this matter.,"@423575 I understand your frustration. What questions did you have specifically? Let us know, we'd be happy to answer your questions!^SK",Other/Unclear,True,,Other/Unclear,Delivery Issue,Billing/Charge Issue,True,True
I just want to say that @115821 is amazing. I've had a few problems and their customer service is unrivaled. Shout out to @AmazonHelp and everyone on their team. My dollars support Amazon.,"@692621 Thank you, Amar! We're glad to help :) ^SM",Other/Unclear,False,,Other/Unclear,Delivery Issue,Delivery Issue,True,True
@AmazonHelp No. Told rudely that you're very busy right now. Would have no problem if it said wasn't coming til next week but I've sat home for 2 days https://t.co/OmnvtitovD,@238677 I'm sorry to hear of this Jennifer. What I would suggest is if it hasn't arrived by Monday to let us know and we'd be happy to look into this further for you. ^KI,Delivery Issue,False,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
@AmazonHelp from the past 25 days the issue is escalated 10 times. To whom they are escalating to and who will solve my issue. /2,@329177 Please tell us what went wrong by filling in the details here: https://t.co/GIJyeYqKE0 &amp; we'll help you further. ^BS,Other/Unclear,True,,Other/Unclear,Delivery Issue,Delivery Issue,True,True
".@115821 is the real MVP. Even after a delay with delivery due to some payment issues on my end, im still getting #FireEmblemWarriors today!","@322300 Whoo hoo! I'm glad we were able to assist! Please keep us updated on the delivery! 
^AL",Other/Unclear,False,,Delivery Issue,Delivery Issue,Delivery Issue,False,False
"@115821 it's ironic that You deliver one order to an address &amp; for another order to the same address you say, can't locate it",@185479 Allow our support team to investigate this. You can report this here: https://t.co/R3EfhzgU8B ^CB.,Delivery Issue,True,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
"@AmazonHelp finally I got solution , it's just lack of communication your costumer support is awesome thanks Amazon.",@145371 I'll make sure to forward your feedback internally. We try hard to meet the expectations we set. Glad to know that we're succeeding in it. ^SM,Other/Unclear,False,,Other/Unclear,Delivery Issue,Other/Unclear,True,True
"@AmazonHelp Haven't yet been about 5 hours since i received the email, here is the link https://t.co/OLtTGEoE2A","@219241 To clarify, did you order this last night? It looks like this item may take an extra 1-2 days to ship. Please let us know! ^FD",General Product/Service Question,False,,Other/Unclear,Delivery Issue,Refund/Return Request,True,False
@AmazonHelp Why?????????????????? https://t.co/ngMPnKJOkv,"@379235 Oh no! When you have the time, please reach out to us for live assistance here: https://t.co/hApLpMlfHN ^BH",Other/Unclear,True,,Other/Unclear,Delivery Issue,Other/Unclear,True,True
"Listen up because Iâm a prime member @115821 . 1. I donât care about that  Casey Affleck or Manchester by the sea so stop with the advertisements.
2.  This is wonderful packaging, thank you. https://t.co/CTu7e3pKTR","@164631 Hi, Rachel! Thanks for the taking the time to provide your feedback to us. We're so glad to hear that you enjoyed receiving your awesome Amazon box! Please let us know if there is anything else we can help with! ^NS",General Product/Service Question,False,,Other/Unclear,Delivery Issue,Delivery Issue,True,False
"@AmazonHelp The your orders says delivered to locker, but when you drill down it says delayed. But if you track it with the carrier it shows delivered",@509768 Hmm strange one- was the order placed with https://t.co/ykTUEmdsQA or? ^NV,Order Status/Tracking Inquiry,False,,Order Status/Tracking Inquiry,Delivery Issue,Delivery Issue,False,True
"I didnât think @115821 could get any worse, but it has. Iâm on my fourth conversation with them about a Kindle order and I might as well be talking to my dog. At least heâs happy when I talk to him!","@630045 I'm sorry for the poor experience with us! Without providing personal information, could you tell us what the issue is? ^AR",General Product/Service Question,True,,Delivery Issue,Delivery Issue,Refund/Return Request,False,False
Everything Iâve ordered in the last week has taken more than 4 days to get here.  Some more than 7.  Everything ordered from my prime account that I pay extra for each year.  This is not acceptable. @AmazonHelp,"@163994 I'm sorry for the wait! During this busy time of the year, some orders may take longer than normal to arrive. Are we missing the delivery dates provided in your order confirmation e-mails? ^TH",Delivery Issue,True,,Delivery Issue,Delivery Issue,Delivery Issue,False,True
@AmazonHelp Received again worthless product... money n time waste... never choose again Amazon... refund done... Thanks ð¡ð¤ð¤ð¤ð¤ð¤ð¤ð¤ð¤ð¤,@369979 I'm sorry about the experience. I've noted your comments and will be sure to forward this as a feedback internally. ^MP,General Product/Service Question,True,,Refund/Return Request,Delivery Issue,Refund/Return Request,True,False
@115850 Dear A To Z Store what kind of rubbish &amp; creating unlikeness towards ur shoping is created by this stop it https://t.co/ozAskmt3Ye,@435867 The offer you're referring to is not genuine. Thank you for sharing this with us. Please do not share any personal info. ^SV,Other/Unclear,False,,Other/Unclear,Delivery Issue,Other/Unclear,True,True
"@AmazonHelp 
Someone is using amazon logo to fool people.. Looks like a fraud.. Plz look into it https://t.co/CY2JLDHiaW","@183050 We have responded to you via direct message, please refer the same. ^RD",Other/Unclear,False,,Account/Security Issue,Delivery Issue,Other/Unclear,True,False
"@AmazonHelp I do not know anything, I want my money back. That too, in the bank account, at the customer's service center,","@450218 Please don't provide your details, as we consider them to be personal info. Our page is visible to the public. (2/2) ^GK",Refund/Return Request,True,,Refund/Return Request,Delivery Issue,Account/Security Issue,False,True
@115850 order ID #407-5845756-8052349,"@736326 Also, please donât provide your account details as we consider them to be personal information. Our Twitter page is visible to public. 2/2 ^SB",Account/Security Issue,False,,Order Status/Tracking Inquiry,Delivery Issue,Refund/Return Request,False,False
"@AmazonHelp @115851 sir each time different ppl wrt mail, no 1 understand,no one ready to resolve the issue @115850  abt od.no 408-6373835-4135510",@425602 We've sent a correspondence to your registered email ID here: https://t.co/NTkrxpsbHJ. Kindly check. ^PS,Account/Security Issue,True,,Other/Unclear,Delivery Issue,Other/Unclear,True,False
I really wish the new Kindle Oasis had an exchange offer with last generation Oasis @115821,@359527 I'll be sure to share your comments as feedback to the concerned team internally. ^MO,General Product/Service Question,False,,General Product/Service Question,Delivery Issue,General Product/Service Question,False,True
