customer_message,amazon_reply
"@115850 apparently the convenient of delivery crew is more important to them customers! Despite specific slot, my delivery is rescheduled as crew was inconveniened. #Canceled",@509289 This isn't something we advocate on any order. Allow our support team to investigate this. You can report this here: https://t.co/R3EfhzgU8B. ^CB
@115850 Ref my Tweet yesterday. Package not yet received. No action from you. Sad.-@426195,"@426195 I'd like to take a look, please share your details on the link here: https://t.co/GIJyeYqKE0. We'll look into it. 2/2^PS"
"@132994 @115850 I want to upgrade from OnePlus 5 to 5T. I've purchased it on 5th oct 2017 can I get the exchange benefits......
Please help me out.",@523963 I understand you want to know more about the exchange offer. Exchange facility is available only 1/3 ^KH
"@AmazonHelp Thank you, I had to call customer service three times but it got fixed","@195810 We're glad to see you were helped. Let us know if you need anything, we're here 24/7. ^DW"
Hi @AmazonHelp I am still getting these weird emails after someone stole my password 😳 https://t.co/6RRB9IPdhe,"@382580 Hi, sorry about that. Please check here for help how to urn it off: https://t.co/FgxVoE4fTM ^AT"
@AmazonHelp Can see one driver throwing a package out from window at one of my neighbors house. https://t.co/AopojFAnnx,@245840 I am really sorry to see this Paul. Was the package still in perfect condition? Have you raised this with us directly?^SM
@AmazonHelp Yes I did it after your tweet and the error is still same.,@482404 We'd like to look into this. Please reach out to us by phone or chat here: https://t.co/kemP5V5LSW ^RR
@115850 order not delivered yet &amp;msg receive yesterday that order delivered.i had paid extra for early delivery .really fed up.Poor servic,@321563 Please drop in your details here: https://t.co/GIJyeYqKE0. We will sort this for you. 2/2 ^SB
@AmazonHelp the tracking begins with TBA - i don't even know what courier that is lol,"@276067 Thank you for this information. If your order hasn't arrived by 8:00 PM, please let us know! ^JR"
"@115830 My parcel that should have been delivered Wednesday that wasn't, that was supposed to be redelivered yesterday, wasn't. Useless!",@129371 I'm sorry your parcel hasn't arrived! Please get in touch with us here: https://t.co/JzP7hlA23B for available options. ^EZ
"@AmazonHelp Hey @AmazonHelp  you need more time ? its +4 days of delivery time and no one have called no one have contacted me, no delivery boy came in nor my parcel is with me...cant believe #ShameOnYou",@663163 Sorry for the delay in delivering the package. I understand that waiting is tiresome but the issue is being looked into and we will connect with you shortly. Your patience will be much appreciated here.  ^KK
"2nd time in a month my prime package is mysteriously delayed. Oh @115821 you were doing so well, and now I'm back to feeling like Prime isn't worth the money. https://t.co/QgdEz2zz5o","@174351 I'm sorry for the wait! This isn't what we strive for and I'm sorry we let you down. If it hasn't arrived by Wednesday, please reach us here: https://t.co/hApLpM3Ejd for your available options. ^DW"
"First time using @115821 &amp; my package doesn’t get delivered, no notice slip, somehow they think my house is a business that closed at 6? Never again thank you.",@797322 I'm sorry about the wait! We want to help. Have you reached out to us via phone/chat to provide the business hours of operation? We'd love to forward that info to the carrier. ^SH
"1/2 Wait in all day for an @115830 delivery. It turns up over an hour after delivery cut off, open it up to find it's already damaged....",@331171 I'm sorry your order was damaged! We'd like to help you so please reach us here: https://t.co/JzP7hlA23B ^DD
"Hey @115830, need to ""return"" an item I never received but got delivery confirmation for - what should I do? There was no card or anything.","@751301 Hi, sorry to hear that you haven't received your order, have you tried these suggestions: https://t.co/L76CBge35P? ^JJ"
@AmazonHelp @115850 there was no phone call as claimed. #Lies are not appreciated!,@369989 Apologies. I’d like to help you; please share your details: https://t.co/beaaDm0muc and I’ll contact you soon. ^VR
@115850 Ordered a Moto G5 S+ ten days ago but it was never delivered cause it was broken while shipping as per what customer care told me.,"@415447 We cross-checked, it worked. Kindly use a laptop/desktop to access the link. Keep us posted. ^CB"
"Ok, so I went on the amazon website today to look for inspiration for my lovely wife for Xmas, I proceeded to go into the gifts for women section and saw this.... Now what woman doesn't like a life jacket for Xmas, I mean seriously @115830 😕🙊 https://t.co/nJfJtdklRZ",@649933 Kayaking in December would be great fun😂 Awesome gift! I'm sure your Wife would love it!!😁 ^CN
@AmazonHelp I've talked to THREE SUPERVISORS. I've called in 7-8+ times. My book is still not live and we're on the third business day.,@231878 What was advised by the supervisors you spoke with? Did they provide any insight on a time frame for resolution? ^NC
"@AmazonHelp 2 months, still waiting for refund. ORDER # 408-6487239-5985920 Spoke with 6 people on 2 months, all of them just promised but did nothing!","@491015 Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (2/2)^SV"
@115828 why are so many titles no available for pre-order? Monster Hunter World? Red Dead Redemption 2? Ni No Kuni II? etc.,@601275 Sorry they are not available. You can request an e-mail update as soon as we have them available to order. ^AF
"@AmazonHelp trying to use Vendor Central,it either comes up with a page saying 'website currently unavailable' or takes me back to dashboard","@366927 Sorry to hear that Emily, please try using a different browser or device to access this? ^RS"
Just found an @115821 parcel in my front garden... where’s the strangest “safe place” you’ve ever found a parcel? 😂 https://t.co/YGGCeC8Oyc,"@350701 Hi Carl, we'd like to investigate it. Please submit this secure form ans we'll be in touch: https://t.co/tkLCr7DNil ^AT"
@AmazonHelp I'm getting emails to inform me they're going to be late. One stated on the confirmation email it would arrive on the 24th! And I didn't get any correspondence to say it's going to be late for that one.,@790720 Please contact us directly so we may take a closer look and check our options: https://t.co/JzP7hlA23B ^BG
@115850 @734 @AmazonHelp . What a pathet8c customer support#onlt intrstd in selling#no customer support#poor service#can sm1 help,@172352 The link here would be more helpful: https://t.co/hITbmQzz2y. ^BS
"@115850 Ordered HeadzUp, Seller is charging more than MRP. Charging GST over the MRP https://t.co/mIqGrGv4yE","@240464 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. (2/2) ^KA"
"@AmazonHelp  item not delivered,customer service said to return item for a refund, ummm how? when it was never delivered???","@718249 Oh my! I'm sorry that your item hasn't been delivered, Beth. We're unable to view your order here on Twitter. Let's look into available options here: https://t.co/JzP7hlA23B ^AB"
@AmazonHelp Delivered to smokers? What is this? These is the second delivery that hasn’t arrived? Who are smokers? I can’t believe how careless amazon are with their deliveries? Just handed to SMOKERS? #Amazon https://t.co/aOm0GVoxU7,"@643620 Oh! I see! I'm so sorry about this, Kira! If you'd like to reach out to us by phone, we will be happy to investigate this for you! You can contact us here: https://t.co/JzP7hlA23B and we can explore available options! Please keep us posted! Thanks! ^FR"
2nd time this year I've received a new book from @116090 that's arrived with the dust jacket torn and the edges of the book dented. So irritating. https://t.co/Nk471D5AlY,@807841 I'm sorry your order arrived in this condition. Let's explore your return or replacement options here: https://t.co/WzAEDOuOUI ^GG
@AmazonHelp It's totally 2 weeks now that I didn't get my item. Tell me if I can cancel it. Totally unsatisfactory and uneducated Employee in Bluedart.,@158507 The delay was unexpected. Kindly revert the correspondence received. We'll help you further. ^BS
@115850 @115821 @115851 @123288 @39424 Your arrogance &amp; anti-customer policies will make u akin to @4030  whose arrogance to retain amirkhan as B/A is now fighting 2 survive,"@153500 We've responded to you here: https://t.co/diDX8g09gB, request you to check. ^MA"
"@115850 you guys are just making fool to customers in the name of flash sale, pr9viding 3rd class product",@278558 Apologies for any trouble. We'd like to know what exactly went wrong with the product. Could you please elaborate the issue? ^AB
@115821 why won't you let me log into my account,"@733791 Oh no! We'd like to help, Rachel! Could tell us more about the problem with logging into your account? ^HM"
@115851 @AmazonHelp Your return pickup for 404-7148114-1043526 has been scheduled for 02-Nov between 1:00PM-4:00PM.,@120778 Please don’t provide your order details as we consider them to be personal info. Our Twitter page is visible to public. ^JC
"@AmazonHelp Yes, quite a few times this &amp; last week.","@171449 We'd like to look into this with you! When you have a moment, please fill in your info here: https://t.co/rxeiWjWQ4F ^TG"
@115850 can I get refund from Amazon Pay account into my bank account,@640256 The Amazon Pay balance is non-refundable and non-transferable. Appreciate your understanding. ^ZH
Am I the only one who lost the Carousel view after the @117634 update? Grrrrr...,"@613753 We'd like to assist! Which specific type of Kindle, Fire, or Kindle Reading app are you using? ^JR"
@116618 so not happy with your service. Last night the movie works great. Try to resume it today and I go.  Always have this issue.,@501789 I'm sorry for the trouble! Are you resuming playback on the same device? Which device is being used? ^AR
@AmazonHelp I can send a dm with the order number,"@251768 Using the link EZ provided will be the best way we can help, as we do not have access to your Amazon account via Twitter. ^WM"
@AmazonHelp My replacement has not been more than 10 days. What are you doing? What people are you doing? I do not know how to do the work of people,@463405 Let me help you here. Have you tried reporting this to our support team at https://t.co/vlvfJr4nN9? ^AR
Who gets the 7 years bad luck if it arrived like this @115830 @173744? Bagsy not me!😱😱😱 https://t.co/BvNGJn9zZD,@298154 Sorry to see this. Can you contact us here: https://t.co/JzP7hlA23B? ^MC
@AmazonHelp do you no longer get free grocery delivery for prime members?  Mine isn’t showing it.  Now £3.99.  My order is over £20 https://t.co/m8sRouDs9Z,@383803 Free delivery is currently available for orders of £40 or more. We have more information about delivery rates listed here: https://t.co/DJWWYxtOhF ^RA
@162519 @115850 What happens on renewal now? On new pricing?,@174755 Any renewal before 31st October will be in the existing price of 499. From November 1st it will be INR 999.
"@AmazonHelp Pls stop making fool, I'm chasing u guys since 19th, on mail, on twitter, on customer centre everywhere.","@337608 We haven't received your information yet, kindly drop in your details through the link provided &amp; we'll get back to you soon. ^EM"
@AmazonHelp Please get back with a solution not a refund or asking for more patience. An actual plan and solution how this will be handled and corrected,@132485 I get your concern. I've noted your comments and passed it internally. We'll work on it and get back to you soon. ^PS
Dear @115850 your deaf delivery man texts me this on asking about my delivery details. Order No. 4__credit_card__. Please act asap https://t.co/yjtnGTfRKj,@418412 Apologies for the unpleasant experience. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll contact you. ^GS
"Don't bother paying for Amazon Prime, second time an Amazon Logistics driver has decided to deliver our package to a random house though our number is clearly posted, unacceptable! @115830  @AmazonHelp Last time was just a refund, this was a black friday deal, i want my item!","@814841 I'm very sorry that your order was misdelivered for a second time, Christine. While we strive to be better, we don't always hit the mark! Please reach out to us via phone or chat so that we can further assist:  https://t.co/hApLpMlfHN ^SP"
@AmazonHelp @115850 mentioned in the mail like I'll get back my money today(NOV 7) to my account but again U guys proved very worst service @115850,"@451686 Apologies, kindly reply to our email with your insights. We'll check and get back you at the earliest. ^MO"
"@AmazonHelp I have shared the details. Now, please do something. The tracking details in the order history on your website is fake one.","@521437 If you've shared the details in the above link, you should've received an email from social media team. Kindly check here: https://t.co/DTSNmGldJf and reply to the same for further assistance. ^MO"
@115821 absolutely shocking ordered two weeks ago nothing delivered ordered Saturday for guaranteed delivery today still nothing....#awful,@513973 I'm sorry you're having trouble with your order! Did we miss the delivery date listed in your confirmation e-mail? ^JS
"@AmazonHelp Had to wait for 24hrs before they could do anything,due to “process”. This item has clearly been tampered with as well as being late. 2nd time this has happened in a month on prime. 1st time you delivered and empty box ????","@654396 Thanks for the additional information, Mark! I'd like to have a member of my team look into this further. When you get a moment, could you please provide some additional details: https://t.co/gEJDP3Xj2v ^SW"
"@115850 dear Amazon plz look into this , I haven’t received the same and Blue dart guys not picking phone https://t.co/C9k4dMWOV3",@214834 I get your concern with the delivery of your order. Kindly connect with our team here: https://t.co/R3EfhzgU8B. ^PS
I need assistance for amazon Cashback @AmazonHelp,"@454668 We'll certainly help you with it, Ravi. Could you please let us know which cashback you're referring to? ^SY"
"Ordered Moto g5s+ on 29th Oct,delivery date given to me was 1st Nov.
Its 6th Nov &amp; still no update about the order
@AmazonHelp
#AmazonIndia",@509584 Sorry about that. Kindly connect with us here: https://t.co/vlvfJr4nN9 and we'll look into it. ^PB
"@AmazonHelp Hi, they told me to wait for dispatch and return it and go buy from @127894. As he is the supervisor and one step ABOVE customer service head office.","@132436 I'm sorry for the trouble with the order! We don't have access to your account or it's details via Twitter, but we'd still like to help. Did you receive any e-mail regarding the warranty/coverage? ^TG"
"wow, amazon charged me for this prime thingy like i knew i had it.",@491003 Sorry to hear. Have you since cancelled? You can do so here : http:https://t.co/a4Yc9lKczA Keep us posted.^TP
So much for a discount !! Selling pirated copy of little bets @118919 @115821. Price tag of 499 and invoice of 671 !!! Pathetic https://t.co/88C7rpkzcB,"@787640 I get your query, there may be cases where M.R.P. of the product delivered is different from the M.R.P. given on the website due to various reasons including time lag in updating prices post changes in M.R.P., product belonging to 1/2 ^SH"
"@AmazonHelp before I knock on my neighbour, which is it amazon? A note to correct the previous card would of been ideal... simple things. https://t.co/6KkcIA5WDD","@174809 I am so sorry for the troubles with your order, Phil! If you could, reach us by Phone or Chat: https://t.co/JzP7hlA23B ^FR"
@AmazonHelp @115821 I already have. I shouldn't have to come to Twitter to get updates on this :(. Why is it taking two weeks to sort out my account?,@182227 Apologies Matan - when did you send the required info to the Account Specialists ? ^TD
Thank you @115821 for ruining my morning and making me late for class! 0/10 Customer service,@421351 Sorry to hear about the poor experience. Is there something we can help you with? ^MI
@AmazonHelp Thanks. Yes I was promised delivery of an item today and this has not happened. I was then further informed item is lost and it was an urgent present. I then experienced very poor customer service via chat,@232300 We always strive for a great experience and I apologize that we haven't kept to that. What options were you given when you spoke with our customer service? ^FD
@AmazonHelp No it was at the carrier facility. It's now saying a stop and return request has been actioned for the carrier to return the package,@450933 Please reach out to us here: https://t.co/JzP7hlA23B and we can look into it. ^PK
@AmazonHelp What is the limit of your affirmative action? Why I am suffering? Why don't you punish Dculprit instead of making me more fool @71968,@218501 I understand your concern. Our team is working on it. We'll update. ^SG
"Again big disappointed frm @115850, given Amazon pay Ballance offer during 4 to 7 Oct.
Now saying Ur product is not offer list https://t.co/7HciXB00Vb",@333357 Please don't provide your order details as we consider it personal information. Our twitter page is visible to public.(2/2) ^CB
#KaroMilkeLateDelivery is the mantra of @115850 can say it with experience. They don't delivery at commmitted time &amp; give excuses https://t.co/6I4kO0jtRL,"@183457 shared here: https://t.co/NTkrxpsbHJ and reply to the email correspondence, we'll reach out. (2/2) ^KA"
"@115850  bought a mobile using city Bank credit card on oct6,17.I haven't received 10% cashback https://t.co/pcNXcNJHJN long does it take?","@187929 The cashback amount will be credited to your Amazon account in a form of Amazon pay balance by January 8, 2018. ^MA"
@AmazonHelp Currently waiting on a call back from a UK manager.,@434620 Please reach out to us if you're still in need of assistance after speaking with one of our representatives. ^WM
@115850 Best of the Best Service and Support from Amazon. NEVER Disappoints,"@171435 Kartik, those are some kind words. Such lines makes our day. Thanks a bunch from team Amazon. ^CB"
@AmazonHelp Details attached as per your request and request you send me the book ASAP. https://t.co/ZygkF1sfvW,@162506 Please don’t provide your order details as it is personal information. Our page is visible to the public.2/2^HN
This is the third time #AmazonLogistics has “attempted delivery” of an item - lies (i was home all day) and then call to hang up and sent the delivery attempt text. @115821,"@374249 I'm sorry for the multiple issues with your delivery, Karena. We'd like to make sure Amazon Logistics investigates. Please send us your details here and we'll follow up: https://t.co/0D5FHzFGtL ^AM"
"@115830 my Echo is not working as advertised and the chat team are useless. Have even provided an incorrect contact number. I am so angry right now, please help.","@148037 Hi, I am very sorry to hear this. Can you share with us what you were advised when reaching out to us ? ^CR"
"I really enjoy my @115821 echo dot, I actually have 2 now...but man, the app to manage them is atrocious!! https://t.co/fONCNt2tVP",@532881 Hey Michael; I'm sorry you're facing issues with the app.  Try these troubleshooting steps: https://t.co/1znPNXocAq ^KL
"Can my god damn amazon package ship yet? I ordered it the 7th, 4 business days to ship. I ordered 5 things, 1 shipped separate and got today.",@685862 I'm sorry you haven't received your items yet! Have we missed the estimated delivery date for your order here: https://t.co/Y5jpI9gRhE?
"My kids and I witnessed an @115821 driver throw our package on the porch hard, then laugh about it. Livid!!!!!!","@241222 I'm so sorry this was your experience today. This is not what we want for our customers. I would like to get this addressed directly so please provide the requested information here: https://t.co/1Ge5qHOGDo
so we can get this resolved for you. ^BT"
"@AmazonHelp Hi I'm wondering about this article https://t.co/3Y25abIUEp … I pre-ordered this, were you really selling this or it's fake?",@360288 1/2 I'm sorry for the concern. The product page has been updated here: https://t.co/XrUZukv3Zo
@AmazonHelp Of course. Your customer support is worthless.  Paying for PRIME is like flushing my money down the toilet these days.  I'm canceling.,@151670 I understand your frustration. Have we been missing the delivery dates given in your confirmation e-mail? ^GG
"@AmazonHelp This is the kind of response which creates trust and respect. Kudos 👍🏻

It'll be much appreciated if you could make good on Thursday delivery. No problems even if not 😊👍🏻","@124791 Thanks for your kind words, Jainendra. I'd like inform you that we ship the products to meet the estimates. However, we will try our best we can in delivering the product to you. Appreciate your understanding. ^NK"
@AmazonHelp Why don't you have Suits season 6 all episodes? Only 10 available. No season 7 too,@481389 We will let you know when these episodes are back. We’re really sorry for the inconvenience caused. (2/2)^MN
@AmazonHelp Latest update is that it will be delivered Wednesday just gone....,"@129582 If the tracking info hasn't updated, the courier should be able to provide a re-delivery update: https://t.co/ORVJEfYbKp ^SD"
@115850 where is my order whoch i placed on ur global store... more than 20 days.. its still held by courier. I paid in full. https://t.co/dPUbAdCC6r,@119448 Sorry to know you haven't received your order yet. We certainly did not expect this to happen. 1/2 ^PS
"#AmazonBournvitaMaze
I am not sure but may be this just publicity students by @115850 and @100560 
No winner announcement till today",@736192 The winners will be announced on or before 10th December 2017. The winners will be contacted by email. Kindly stay tuned. ^AK
@AmazonHelp OnTrac. Thank you for the quick response!,@241588 Thanks for the info! We'd love to connect you to the carrier for inquiry. Please get in touch with us here: https://t.co/hApLpM3Ejd ^SH
"@AmazonHelp ""Sold by https://t.co/LQYgU4yBnA LLC""",@194093 You can check out available options by using the Online Retunrs Center here: https://t.co/4p4HwPguR2 ^GL
"@14045 @115850

No information about cashback on order Id 405-5491973-6941950 neither getting any way to connect
#FakeOffer","@352397 I get how you feel, I'd like to look into this, please fill this form: https://t.co/beaaDm0muc and I’ll contact you soon. 1/2^SC"
"@AmazonHelp Yes, already checked and replied.",@665264 Thanks for writing back on the issue. We are reviewing the situation. We shall reach out at the earliest. ^CB
@AmazonHelp I think my package should have shipping by now. Paid for two day shipping. https://t.co/Iwfq7ahwux,@148421 I'm sorry for the wait. It's common to see the shipping status update closer to the delivery date. Please keep us updated! ^MH
@AmazonHelp USPS is my carrier,"@527820 We'd love to help with this, Chase! Please reach us here so we can look into available options: https://t.co/hApLpMlfHN ^JD"
"@115850 Hey Amazon, Where can I get the Bullet Club Tshirts in India. I want to purchase one but unable to find it on ur site https://t.co/gfD3r5eRUI",@351901 Sorry to know the product isn't available on our website. Kindly keep checking for further updates on its availability. ^AB
@AmazonHelp I am afraid I will have to cancel 2/2,@175074 Did we provide an estimated date range? You're able to find that here: https://t.co/qR8X0yYmFI ^KP
Diwali order not delivered till today great #amazon @AmazonHelp @8623 https://t.co/H5nubPehu7,"@668283 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. (2/2) ^MO"
Ordered something on @115821 for $13 (sale price)and they didn’t honor the price they listed. This guy is mad😡 @120330 @134046 @136083,@357881 Apologies Drew. Were you charged a delivery fee? Can you provide a link to the item in question? ^TP
Someday the @118706 will deliver my @115821 package and the 2-day shipping thing will make sense. But it has been a week. #makethisright,@184217 I'm sorry to hear your item hasn't arrived! What's the latest tracking status show here: https://t.co/Y5jpI9gRhE? ^KP
@AmazonHelp hahahha itne dino se pareshan ho ke customer care ko contact kr k pareshan hu par kuch nai tum log ghanta ukhar hoge,"@120538 I get your disappointment, Shashank. We'd like to assist you. Our team will check this for you and get back to you soon. 1/2 ^NK"
@AmazonHelp yes I have. I asked it to resend the code a few times.,"@156612 I'm sorry for the frustration! We're available to assist with your account issue. When you can, you may select ""I cannot sign in to my account"" from this link: https://t.co/1e9mMI6ASL ^SJ"
"@115821 customer service has gone drastically downhill. Reps straight up lying, having to call multiple times about my returns &amp; refunds. Called 4 times for a week to get yall to verify a police report I was forced to make over a $50 order. Weakkkkkk","@760946 Eden, this is not what we like to hear. I'm sorry that you had to call so many times to get your issue resolved. Is it resolved now? ^SY"
@AmazonHelp Still no reply...my complaint is still pending,@121656 Apologies for the ordeal. Kindly reply to our correspondence here: https://t.co/8DAc10S7ww and we'll check this further for you. ^VN
Hey @115830 my parcel was delivered to my bin today. Unsurprisingly this isn't my 'safe place' and was in broad view of the busy street https://t.co/RpVt7bTfbb,"@778529 I'm so sorry about this, Sarah! This is not the sort of experience we want you to have. If you wouldn't mind, please reach out to us directly here so that we can take a look into this for you: https://t.co/qXhaiF8McA ^SM"
Just pulled another #Amazon delivery out of the bushes since the #amzl people can’t walk the extra 2 ft to my door. So tired of this.,@115853 I'm sorry we let you down! We'd like to make sure this is addressed. Please provide some details here: https://t.co/z6evtFsZI5 ^BN
@AmazonHelp no more reply going to lodge a complaint in consumer court.m nt free to respond u per day..@115851 shame on ur services https://t.co/gyXbSI7QHX,@164814 Sad to know you feel this way. In case you change your mind please feel free to revert to our email for any further assistance ^AB
“Handed to resident” more like left outside. well that’s my 8year old brothers present potentially ruined. No letter no nothing. Thanks so much @115830 your delivery service is TOP NOTCH 20/10 star review. https://t.co/1MV8kOjiHj,@221852 I am so sorry to see this! We would love get this sorted for you. Please reach us via phone or chat here: https://t.co/qy3J24VGxb so we can review all available options and record your carrier feedback. ^JS
I am suffering from @115850 form last 11 months. why are they suffering and why are the cancelled my products . https://t.co/ll02mbfxPW,"@428543 Apologies. Anytime an order is canceled, we notify you with an e-mail stating the reason.(1/2) ^CB"
"@115850 

My refund of Lehnga Choli is not completed. yesterday
I tried to reach you through FB chat also, haven't received reply. Plz help https://t.co/f61wlsSChE",@148245 Please don't provide your account details as we consider it to be personal information. Our Twitter page is public. 2/2 ^KH
@AmazonHelp I don't need information and updation. I want result,@401609 We'll get in touch with you soon. ^SG
@AmazonHelp Not sure what happened but it's working now :),"@355538 Yay! I'm glad it started working! If we can help with anything else, just let us know! ^CN"
@115850 please update my Amazon pay balance..,@202278 I'm sorry but I didn't understand that. Could you please elaborate on this. ^HA
Hey @AmazonHelp. I need some HELP it's raining and my dog is getting wet and the raincoat I ordered a month ago is not here. Thanks a lot https://t.co/9JiAEzWLWZ,@300257 Oh no! A wet dog is not a happy dog! We're here to help! Can you tell us what the order status is?:https://t.co/Y5jpI9gRhE ^AL
"@AmazonHelp If you are unable to check in your back-end &amp; have no access to it, why bother to solve? Let @115850 turn bankrupt. Customer isn't imp 4 u",@183457 We need your account details shared via secured link to gain access. Please let us know once done and we'll reach out to you. ^VN
"@115850 Why do you have offers that you don't honour? Your delivery guy was unaware &amp; refused. This is cheating. 
https://t.co/LU74TEq4CM",@364851 Apologies for the trouble you had with the pay balance cash load offer. We'd like to help you. ^AK (1/2)
"@AmazonHelp Thanks for the assistance, was able to get the problem solved and I'm satisfied with the response and help.",@184605 You're welcome :) We are glad the issue is resolved. Please keep us posted for any assistance. ^BS
@AmazonHelp My so called high prioritized package was lost despite calling you guys several times.,@337611 I'm sorry to hear this. Kindly share your details here: https://t.co/beaaDm0muc and we'll look into this. ^GK
@115850 This is now regular. Buy something with promise of delivery next day. Then say sorry and push delivery by 3 days. What is d point? https://t.co/ooxJxMHLLB,@338772 order might take longer than expected to arrive. Request you to wait till the revised date for the order to arrive. 2/2 ^GK
@AmazonHelp The A to Z claims are only good for non-disputed orders. Will we still be able to file with you in the event it’s not favorable?,"@395903 If the seller will not offer any options when you received damaged goods, you may file an A-to-z Guarantee Claim. ^SA"
"@AmazonHelp This is the issue. Item ordered on Thur, Oct 19th. Item never shipped. Says I should have received it today. https://t.co/iaE9h5Ke50",@413683 Have you been in touch with us here:  https://t.co/hApLpMlfHN ?^CD
